"AD_NAME"	"AD_ID"	"CAMPAIGN_ID"	"ACCOUNT_ID"	"ADSET_ID"	"STATUS"	"CLICKS"	"CPC"	"CPM"	"CPP"	"CTR"	"SPEND"	"RELEVANCE_SCORE"	"DATE_START"	"DATE_END"
"Kirirom Institute Of - Video views"	"6121861571843"	"6121861570843"	"495346300520002"	"6121861571443"	"ACTIVE"	"3810"	"0.034346"	"0.551059"	"0.98071"	"1.604413"	"130.86"	"9"	"2019-03-31"	"2019-04-29"
"Post: "ផ្តើមចេញពីការខិតខំប្រឹងប្រែងរបស់លោកតាកេស៊ិ...""	"6123674752243"	"6123674750243"	"495346300520002"	"6123674751643"	"PAUSED"	"479"	"0.020877"	"0.381679"	"0.494462"	"1.828244"	"10"	"4"	"2019-03-31"	"2019-04-29"
"Post: "ដំណឹងជ្រើសរើសបុគ្គលិក!""	"6120531406243"	"6120531405043"	"495346300520002"	"6120531405843"	"ACTIVE"	"1113"	"0.054942"	"1.718372"	"2.955963"	"3.127634"	"61.15"	"3"	"2019-03-31"	"2019-04-29"
"Post: "ពិធីជួបសំណេះសំណាល ជាមួយនិស្សិតជំនាន់ថ្មីជំនាន់ទី៧...""	"6123177402443"	"6123177401043"	"495346300520002"	"6123177402243"	"ACTIVE"	"1182"	"0.00846"	"0.675083"	"0.964692"	"7.979477"	"10"	"7"	"2019-03-31"	"2019-04-29"
"Post: "KIT សង្រ្កាន!...""	"6122621056843"	"6122621055443"	"495346300520002"	"6122621055843"	"ACTIVE"	"4680"	"0.002137"	"0.304414"	"0.374616"	"14.246575"	"10"	"9"	"2019-03-31"	"2019-04-29"
"Post: "តោះ! សាកល្បងទាំងអស់គ្នា...""	"6122621234043"	"6122621231843"	"495346300520002"	"6122621232843"	"ACTIVE"	"8238"	"0.002428"	"0.096438"	"0.10498"	"3.972265"	"20"	"10"	"2019-03-31"	"2019-04-29"
"Post: "ពិបាកមែនទេពេលមកតំបន់ភ្នំម្តងៗ ទាំងការហូបចុក...""	"6122496141643"	"6122496140043"	"495346300520002"	"6122496141243"	"ACTIVE"	"2041"	"0.009799"	"0.793619"	"0.93932"	"8.098885"	"20"	"5"	"2019-03-31"	"2019-04-29"
"Post: "សួស្ដីឆ្នាំថ្មី ""	"6122283111043"	"6122283108643"	"495346300520002"	"6122283109843"	"ACTIVE"	"4183"	"0.011953"	"1.005975"	"1.300627"	"8.415991"	"50"	"5"	"2019-03-31"	"2019-04-29"
"Post: "សំណួរ៖​ ធ្វើដូចម្តេច​...""	"6122283137443"	"6122283135243"	"495346300520002"	"6122283136243"	"ACTIVE"	"1286"	"0.007776"	"0.254725"	"0.336406"	"3.275765"	"10"	"7"	"2019-03-31"	"2019-04-29"
"Post: "ឱកាសអាហារូបករណ៍100%សម្រាប់ឆ្នាំសិក្សា2019-2020បានម...""	"6121970041843"	"6121970040643"	"495346300520002"	"6121970041443"	"ACTIVE"	"1986"	"0.026687"	"0.308854"	"0.613121"	"1.157329"	"53"	"2"	"2019-03-31"	"2019-04-29"
"Post: "សូមស្វាគមន៍ំមកកាន់ វីគីរីរម្យ ផាញ រីស៊ត...""	"6121795021243"	"6121795020043"	"495346300520002"	"6121795020843"	"ACTIVE"	"1016"	"0.009843"	"1.016467"	"1.156604"	"10.327302"	"10"	"7"	"2019-03-31"	"2019-04-29"
"vKirirom Pine Resort - Page Likes - Image 1 - Copy 3"	"6088096126843"	"6033608140643"	"495346300520002"	"6033608141843"	"ACTIVE"	"743"	"0.013997"	"1.227573"	"1.750842"	"8.770066"	"10.4"	"9"	"2019-03-31"	"2019-04-29"
"vKirirom Pine Resort - Page Likes - Image 1 - Copy"	"6088096126643"	"6033608140643"	"495346300520002"	"6033608141843"	"ACTIVE"	"2678"	"0.011397"	"0.82892"	"1.136855"	"7.273419"	"30.52"	"8"	"2019-03-31"	"2019-04-29"
"vKirirom Pine Resort - Page Likes - Image 1 - Copy"	"6088096065843"	"6033608140643"	"495346300520002"	"6033608141843"	"ACTIVE"	"13570"	"0.019092"	"0.572872"	"0.963911"	"3.000566"	"259.08"	"6"	"2019-03-31"	"2019-04-29"
