"AD_NAME"	"AD_ID"	"CAMPAIGN_ID"	"ACCOUNT_ID"	"ADSET_ID"	"STATUS"	"CLICKS"	"CPC"	"CPM"	"CPP"	"CTR"	"SPEND"	"RELEVANCE_SCORE"	"DATE_START"	"DATE_END"
"Kirirom Institute Of - Video views"	"6121861571843"	"6121861570843"	"495346300520002"	"6121861571443"	"PAUSED"	"4460"	"0.032632"	"0.533559"	"0.983"	"1.635065"	"145.54"	"2019-04-03"	"2019-05-02"
"Post: "តោះមកទស្សនាលក្ខខណ្ឌងាយៗសម្រាប់ការប្រឡងទទួលយកអាហារូ...""	"6124236879643"	"6124236878043"	"495346300520002"	"6124236878643"	"ACTIVE"	"290"	"0.011241"	"0.458445"	"0.51274"	"4.078189"	"3.26"	"2019-04-03"	"2019-05-02"
"Event: I T エンジニアを採用するならキリロム工科大学　新卒採用・インターンシップ説明会＠渋谷"	"6124198891643"	"6124198890243"	"495346300520002"	"6124198890643"	"ACTIVE"	"43"	"0.721628"	"22.883481"	"34.554566"	"3.171091"	"31.03"	"2019-04-03"	"2019-05-02"
"Post: "សម្រស់ស្រល់គីរីរម្យពិតជាស្អាត...""	"6124049895443"	"6124049893243"	"495346300520002"	"6124049894043"	"ACTIVE"	"1188"	"0.004739"	"0.216222"	"0.236346"	"4.562562"	"5.63"	"2019-04-03"	"2019-05-02"
"Event: KIT 100% Scholarship Seminar and Entrance Examination"	"6124047366243"	"6124047364043"	"495346300520002"	"6124047365043"	"ACTIVE"	"217"	"0.014793"	"0.375483"	"0.416937"	"2.538309"	"3.21"	"2019-04-03"	"2019-05-02"
"Post: "ផ្តើមចេញពីការខិតខំប្រឹងប្រែងរបស់លោកតាកេស៊ិ...""	"6123674752243"	"6123674750243"	"495346300520002"	"6123674751643"	"PAUSED"	"479"	"0.020877"	"0.381679"	"0.494462"	"1.828244"	"10"	"2019-04-03"	"2019-05-02"
"Post: "ដំណឹងជ្រើសរើសបុគ្គលិក!""	"6120531406243"	"6120531405043"	"495346300520002"	"6120531405843"	"ACTIVE"	"932"	"0.055547"	"1.683632"	"2.852813"	"3.030993"	"51.77"	"2019-04-03"	"2019-05-02"
"Post: "ពិធីជួបសំណេះសំណាល ជាមួយនិស្សិតជំនាន់ថ្មីជំនាន់ទី៧...""	"6123177402443"	"6123177401043"	"495346300520002"	"6123177402243"	"ACTIVE"	"1182"	"0.00846"	"0.675083"	"0.964692"	"7.979477"	"10"	"2019-04-03"	"2019-05-02"
"Post: "KIT សង្រ្កាន!...""	"6122621056843"	"6122621055443"	"495346300520002"	"6122621055843"	"ACTIVE"	"4680"	"0.002137"	"0.304414"	"0.374616"	"14.246575"	"10"	"2019-04-03"	"2019-05-02"
"Post: "តោះ! សាកល្បងទាំងអស់គ្នា...""	"6122621234043"	"6122621231843"	"495346300520002"	"6122621232843"	"ACTIVE"	"8238"	"0.002428"	"0.096438"	"0.10498"	"3.972265"	"20"	"2019-04-03"	"2019-05-02"
"Post: "ពិបាកមែនទេពេលមកតំបន់ភ្នំម្តងៗ ទាំងការហូបចុក...""	"6122496141643"	"6122496140043"	"495346300520002"	"6122496141243"	"ACTIVE"	"2041"	"0.009799"	"0.793619"	"0.93932"	"8.098885"	"20"	"2019-04-03"	"2019-05-02"
"Post: "សួស្ដីឆ្នាំថ្មី ""	"6122283111043"	"6122283108643"	"495346300520002"	"6122283109843"	"ACTIVE"	"4183"	"0.011953"	"1.005975"	"1.300627"	"8.415991"	"50"	"2019-04-03"	"2019-05-02"
"Post: "សំណួរ៖​ ធ្វើដូចម្តេច​...""	"6122283137443"	"6122283135243"	"495346300520002"	"6122283136243"	"ACTIVE"	"1286"	"0.007776"	"0.254725"	"0.336406"	"3.275765"	"10"	"2019-04-03"	"2019-05-02"
"Post: "ឱកាសអាហារូបករណ៍100%សម្រាប់ឆ្នាំសិក្សា2019-2020បានម...""	"6121970041843"	"6121970040643"	"495346300520002"	"6121970041443"	"ACTIVE"	"1986"	"0.026687"	"0.308854"	"0.613121"	"1.157329"	"53"	"2019-04-03"	"2019-05-02"
"Post: "សូមស្វាគមន៍ំមកកាន់ វីគីរីរម្យ ផាញ រីស៊ត...""	"6121795021243"	"6121795020043"	"495346300520002"	"6121795020843"	"ACTIVE"	"1016"	"0.009843"	"1.016467"	"1.156604"	"10.327302"	"10"	"2019-04-03"	"2019-05-02"
"vKirirom Pine Resort - Page Likes - Image 1 - Copy 3"	"6088096126843"	"6033608140643"	"495346300520002"	"6033608141843"	"ACTIVE"	"769"	"0.013368"	"1.178764"	"1.668831"	"8.817796"	"10.28"	"2019-04-03"	"2019-05-02"
"vKirirom Pine Resort - Page Likes - Image 1 - Copy"	"6088096126643"	"6033608140643"	"495346300520002"	"6033608141843"	"ACTIVE"	"2395"	"0.011528"	"0.817735"	"1.120581"	"7.093354"	"27.61"	"2019-04-03"	"2019-05-02"
"vKirirom Pine Resort - Page Likes - Image 1 - Copy"	"6088096065843"	"6033608140643"	"495346300520002"	"6033608141843"	"ACTIVE"	"13537"	"0.019362"	"0.576364"	"0.984795"	"2.976702"	"262.11"	"2019-04-03"	"2019-05-02"
